Symbol,Date,Open,High,Low,Close,Volume
JSBL,17-Jan-2013,5.50,5.65,5.30,5.45,1145500
JSBL,18-Jan-2013,5.75,5.80,5.62,5.77,680000
JSBL,21-Jan-2013,5.83,5.83,5.57,5.59,347500
JSBL,22-Jan-2013,5.53,5.80,5.52,5.67,393500
JSBL,23-Jan-2013,5.61,5.80,5.61,5.79,366000
JSBL,24-Jan-2013,5.79,5.85,5.71,5.80,238500
JSBL,28-Jan-2013,5.84,5.84,5.71,5.80,514000
JSBL,29-Jan-2013,5.70,5.83,5.68,5.69,213000
JSBL,30-Jan-2013,5.77,5.87,5.65,5.81,1362500
JSBL,31-Jan-2013,5.81,5.88,5.70,5.72,336000
JSBL,01-Feb-2013,5.71,5.75,5.66,5.72,60000
JSBL,04-Feb-2013,5.80,5.84,5.77,5.80,222500
JSBL,06-Feb-2013,5.88,5.94,5.80,5.86,610500
JSBL,07-Feb-2013,5.86,5.94,5.80,5.86,880500
JSBL,08-Feb-2013,5.94,6.27,5.92,6.20,5048500
JSBL,11-Feb-2013,6.29,6.35,5.99,6.10,1079500
JSBL,12-Feb-2013,6.00,6.08,5.97,6.02,792500
JSBL,13-Feb-2013,6.10,6.10,5.92,5.93,602000
JSBL,14-Feb-2013,5.90,5.99,5.76,5.82,1821000
JSBL,15-Feb-2013,5.85,5.95,5.81,5.92,533000
