Symbol,Date,Open,High,Low,Close,Volume
MCB,03-Mar-2008,436.00,443.50,413.25,413.25,10696200
MCB,04-Mar-2008,411.85,420.80,396.00,408.90,11657800
MCB,05-Mar-2008,413.00,423.10,410.95,420.90,7990300
MCB,06-Mar-2008,424.00,426.00,417.00,417.00,4086000
MCB,07-Mar-2008,419.85,419.85,400.00,409.75,7581000
MCB,10-Mar-2008,413.00,413.60,389.30,391.00,8591200
MCB,11-Mar-2008,389.00,398.40,383.00,394.50,10377500
MCB,12-Mar-2008,399.00,408.70,398.00,406.10,8025300
MCB,13-Mar-2008,407.00,407.00,395.05,404.00,2932900
MCB,14-Mar-2008,403.20,405.00,394.00,400.00,3540500
MCB,17-Mar-2008,397.50,400.00,393.15,395.35,1747300
MCB,18-Mar-2008,392.25,392.45,375.60,382.00,2832400
MCB,20-Mar-2008,392.50,395.85,383.50,393.25,4271500
MCB,24-Mar-2008,399.00,402.40,389.00,395.50,2689000
MCB,25-Mar-2008,396.00,406.50,394.25,400.05,7341400
MCB,26-Mar-2008,406.00,409.25,403.25,406.00,5246500
MCB,27-Mar-2008,407.00,423.50,407.00,423.50,9606500
MCB,28-Mar-2008,422.90,427.00,417.00,421.70,5866000
MCB,31-Mar-2008,419.00,424.40,407.00,415.50,2640700
MCB,01-Apr-2008,415.50,421.25,413.00,417.00,3402500
MCB,02-Apr-2008,421.50,422.00,415.00,417.50,1389000
MCB,03-Apr-2008,419.80,419.80,411.50,413.50,1651500
MCB,04-Apr-2008,414.00,419.50,412.60,413.50,2982900
MCB,07-Apr-2008,420.00,422.40,416.00,418.00,5919600
MCB,08-Apr-2008,418.25,420.00,412.70,416.90,4207100
MCB,09-Apr-2008,417.00,424.60,414.00,416.25,8808200
MCB,10-Apr-2008,419.00,419.70,408.60,414.00,4607100
MCB,11-Apr-2008,414.70,419.00,414.70,415.50,2409500
MCB,14-Apr-2008,413.70,423.85,412.20,419.15,4962500
MCB,15-Apr-2008,423.00,431.95,423.00,426.50,6674800
MCB,16-Apr-2008,427.00,431.60,425.00,429.05,5658800
MCB,17-Apr-2008,429.70,437.00,428.00,429.10,8274000
MCB,18-Apr-2008,432.45,433.50,428.20,429.50,2406000
MCB,21-Apr-2008,429.50,431.00,425.50,426.00,2457300
MCB,22-Apr-2008,426.00,426.25,418.15,420.50,1909000
MCB,23-Apr-2008,420.50,422.95,408.00,411.45,2873300
MCB,24-Apr-2008,413.00,414.70,402.00,403.00,2993900
MCB,25-Apr-2008,403.00,423.15,398.00,423.15,5652600
MCB,28-Apr-2008,426.00,430.85,418.00,420.92,3575500
MCB,29-Apr-2008,420.15,422.00,411.00,412.00,2955200
MCB,30-Apr-2008,410.02,426.50,407.50,415.00,7487800
MCB,02-May-2008,419.00,428.00,412.00,421.88,9560900
MCB,05-May-2008,429.00,429.00,406.10,414.60,7112100
MCB,06-May-2008,412.00,418.40,394.12,396.50,5465100
MCB,07-May-2008,397.00,398.00,377.35,385.10,6935000
MCB,08-May-2008,390.00,395.00,365.85,365.85,7867300
MCB,09-May-2008,360.00,371.40,349.10,355.00,5460100
MCB,12-May-2008,346.00,362.50,346.00,360.80,6147300
MCB,13-May-2008,364.10,378.84,362.20,378.84,6307300
MCB,14-May-2008,381.00,392.70,381.00,384.00,7463500
MCB,15-May-2008,384.65,386.90,374.80,375.60,3690000
MCB,16-May-2008,372.90,373.30,368.10,370.00,2732300
MCB,19-May-2008,371.90,373.90,353.10,353.10,2833900
MCB,20-May-2008,349.90,355.40,339.20,350.50,4133500
MCB,21-May-2008,355.25,358.00,345.13,355.50,4541200
MCB,22-May-2008,353.55,355.00,337.73,337.73,3377800
MCB,23-May-2008,320.85,320.85,320.85,320.85,390500
MCB,26-May-2008,304.81,306.40,304.81,304.81,1675800
MCB,27-May-2008,294.25,320.05,291.00,320.05,6403900
MCB,28-May-2008,319.50,325.10,304.05,304.05,3984300
MCB,29-May-2008,288.85,294.50,288.85,288.85,1994800
MCB,30-May-2008,290.00,294.50,274.41,274.41,3743600
MCB,02-Jun-2008,268.70,275.00,260.69,269.00,4505200
MCB,03-Jun-2008,273.00,282.45,271.00,282.45,3707400
MCB,04-Jun-2008,296.57,296.57,296.57,296.57,508400
MCB,06-Jun-2008,294.00,307.99,285.00,305.50,6222700
MCB,09-Jun-2008,307.00,309.00,290.23,290.23,3062800
MCB,10-Jun-2008,284.00,301.00,277.00,297.00,6786800
MCB,11-Jun-2008,297.10,308.00,292.60,305.90,4086400
MCB,12-Jun-2008,308.00,310.80,299.00,309.97,3608800
MCB,13-Jun-2008,307.10,319.85,306.70,316.50,3157500
MCB,16-Jun-2008,317.00,319.85,300.68,300.68,2642300
MCB,17-Jun-2008,297.51,299.00,285.65,291.00,4681100
MCB,18-Jun-2008,291.50,292.40,276.45,277.50,2539800
MCB,19-Jun-2008,275.00,275.00,263.63,263.63,2131400
MCB,20-Jun-2008,260.10,276.81,251.20,269.00,4157200
MCB,23-Jun-2008,267.00,274.00,255.55,255.55,2521200
MCB,24-Jun-2008,268.30,281.10,261.25,281.10,5217500
MCB,25-Jun-2008,289.00,309.21,288.00,309.21,4908300
MCB,26-Jun-2008,316.00,337.74,316.00,333.00,6747500
MCB,27-Jun-2008,338.50,338.50,329.67,329.67,2861900
MCB,30-Jun-2008,326.38,327.00,326.38,326.38,989300
MCB,01-Jul-2008,323.12,327.70,323.12,323.12,1950800
MCB,02-Jul-2008,320.28,322.90,319.89,319.89,1211600
